url	league_name
480	SPANISH SEGUNDA DIVISIÓN
1896	PORTUGUESE LIGA ZON SAGRES
266	CZECH REPUBLIC GAMBRINUS LIGA
379	FRENCH LIGUE 1
1530	FRENCH LIGUE 1
900	SWISS SUPER LEAGUE
1353	INTERNATIONAL
112791	ITALIAN SERIE A
267	CZECH REPUBLIC GAMBRINUS LIGA
111701	UAE ARABIAN GULF LEAGUE
110816	ROMANIAN LIGA I
1944	ENGLISH LEAGUE TWO
110569	FRENCH LIGUE 1
68	FRENCH LIGUE 1
873	POLISH T-MOBILE EKSTRAKLASA
1958	ENGLISH LEAGUE TWO
393	GREEK SUPER LEAGUE
112540	CHINESE SUPER LEAGUE
112828	USA MAJOR LEAGUE SOCCER
111817	FRENCH LIGUE 2
110532	GERMAN 3. BUNDESLIGA
561	ENGLISH LEAGUE TWO
1917	ENGLISH LEAGUE CHAMPIONSHIP
192	ITALIAN SERIE B
1331	INTERNATIONAL
110704	SPANISH SEGUNDA DIVISIÓN
111239	GERMAN 3. BUNDESLIGA
110150	MEXICAN LIGA MX
378	FRENCH LIGUE 1
110145	MEXICAN LIGA MX
1887	PORTUGUESE LIGA ZON SAGRES
605	SAUDI ABDUL L. JAMEEL LEAGUE
101114	MEXICAN LIGA MX
111678	MEXICAN LIGA MX
688	USA MAJOR LEAGUE SOCCER
113149	USA MAJOR LEAGUE SOCCER
1923	ENGLISH LEAGUE CHAMPIONSHIP
456	SPANISH SEGUNDA DIVISIÓN
230	BELGIAN JUPILER PRO LEAGUE
1013	ARGENTINA PRIMERA DIVISIÓN
57	FRENCH LIGUE 2
1816	FRENCH LIGUE 1
1926	ENGLISH LEAGUE ONE
1800	ENGLISH LEAGUE ONE
111112	INTERNATIONAL
1915	HOLLAND EREDIVISIE
819	DANISH SUPERLIGA
217	FRENCH LIGUE 2
1889	PORTUGUESE LIGA ZON SAGRES
111144	USA MAJOR LEAGUE SOCCER
1909	HOLLAND EREDIVISIE
111235	GERMAN 2. BUNDESLIGA
1322	INTERNATIONAL
92	ENGLISH LEAGUE TWO
112254	ENGLISH LEAGUE TWO
1938	ENGLISH LEAGUE ONE
110839	SPANISH SEGUNDA DIVISIÓN
